Car Name,Price,Mileage,Engine Displacement,Seating Capacity
Mahindra Scorpio N,13.99 - 24.89 Lakh,15.94 kmpl,2198 cc,7 seater
Mahindra Thar,11.50 - 17.60 Lakh,8 kmpl,2184 cc,4 seater
Mahindra XUV700,13.99 - 25.74 Lakh,17 kmpl,2198 cc,5 seater
Hyundai Creta,11.11 - 20.50 Lakh,21.8 kmpl,1497 cc,5 seater
Tata Curvv,10 - 19.20 Lakh,12 kmpl,1497 cc,5 seater
Defender,1.04 - 2.79 Cr,14.01 kmpl,5000 cc,7 seater
Tata Punch,6 - 10.32 Lakh,20.09 kmpl,1199 cc,5 seater
Tata Nexon,8 - 15.60 Lakh,24.08 kmpl,1497 cc,5 seater
Maruti FRONX,7.52 - 13.04 Lakh,22.89 kmpl,1197 cc,5 seater
Maruti Ertiga,8.84 - 13.13 Lakh,20.51 kmpl,1462 cc,7 seater
Maruti Swift,6.49 - 9.64 Lakh,25.75 kmpl,1197 cc,5 seater
Mahindra Scorpio,13.62 - 17.50 Lakh,14.44 kmpl,2184 cc,7 seater
Toyota Fortuner,33.78 - 51.94 Lakh,11 kmpl,2755 cc,7 seater
Maruti Dzire,6.84 - 10.19 Lakh,25.71 kmpl,1197 cc,5 seater
Maruti Brezza,8.69 - 14.14 Lakh,19.89 kmpl,1462 cc,5 seater
Mahindra BE 6,18.90 - 26.90 Lakh,Not available,Not available,282 bhp
Toyota Innova Crysta,19.99 - 26.82 Lakh,9 kmpl,2393 cc,7 seater
Mahindra Thar ROXX,12.99 - 23.09 Lakh,15.2 kmpl,2184 cc,5 seater
Mahindra Bolero,9.79 - 10.91 Lakh,16 kmpl,1493 cc,7 seater
Maruti Grand Vitara,11.19 - 20.68 Lakh,27.97 kmpl,1490 cc,5 seater
Skoda Kylaq,7.89 - 14.40 Lakh,19.68 kmpl,999 cc,5 seater
Kia Carens,10.60 - 19.70 Lakh,15 kmpl,1497 cc,7 seater
Kia Syros,9 - 17.80 Lakh,20.75 kmpl,1493 cc,5 seater
Mahindra XUV 3XO,7.99 - 15.56 Lakh,20.6 kmpl,1498 cc,5 seater
Maruti Baleno,6.70 - 9.92 Lakh,22.94 kmpl,1197 cc,5 seater
Maruti Wagon R,5.64 - 7.47 Lakh,25.19 kmpl,1197 cc,5 seater
Kia Seltos,11.13 - 20.51 Lakh,20.7 kmpl,1497 cc,5 seater
Hyundai Venue,7.94 - 13.62 Lakh,24.2 kmpl,1493 cc,5 seater
Tata Tiago,5 - 8.45 Lakh,20.09 kmpl,1199 cc,5 seater
Range Rover,2.40 - 4.98 Cr,13.16 kmpl,2998 cc,5 seater
Hyundai Verna,11.07 - 17.55 Lakh,20.6 kmpl,1497 cc,5 seater
Kia Sonet,8 - 15.60 Lakh,24.1 kmpl,1493 cc,5 seater
Mahindra XEV 9e,21.90 - 30.50 Lakh,Not available,Not available,282 bhp
Tata Harrier,15 - 26.50 Lakh,16.8 kmpl,1956 cc,5 seater
Toyota Urban Cruiser Hyryder,11.34 - 19.99 Lakh,27.97 kmpl,1490 cc,5 seater
Tata Safari,15.50 - 27.25 Lakh,16.3 kmpl,1956 cc,7 seater
Toyota Land Cruiser 300,2.31 - 2.41 Cr,11 kmpl,3346 cc,5 seater
Hyundai i20,7.04 - 11.25 Lakh,20 kmpl,1197 cc,5 seater
Hyundai Exter,6 - 10.51 Lakh,19.4 kmpl,1197 cc,5 seater
Volkswagen Virtus,11.56 - 19.40 Lakh,20.8 kmpl,1498 cc,5 seater
Skoda Slavia,10.34 - 18.24 Lakh,20.32 kmpl,1498 cc,5 seater
MG Windsor EV,14 - 16 Lakh,Not available,Not available,134 bhp
Maruti Alto K10,4.23 - 6.21 Lakh,24.9 kmpl,998 cc,5 seater
Hyundai Aura,6.54 - 9.11 Lakh,17 kmpl,1197 cc,5 seater
Nissan Magnite,6.14 - 11.76 Lakh,19.9 kmpl,999 cc,5 seater
Tata Altroz,6.65 - 11.30 Lakh,23.64 kmpl,1497 cc,5 seater
MG Hector,14 - 22.89 Lakh,15.58 kmpl,1956 cc,5 seater
Honda City,12.28 - 16.55 Lakh,18.4 kmpl,1498 cc,5 seater
BMW X5,97 Lakh - 1.11 Cr,12 kmpl,2998 cc,5 seater
Honda Amaze,8.10 - 11.20 Lakh,19.46 kmpl,1199 cc,5 seater
Tata Curvv EV,17.49 - 21.99 Lakh,Not available,Not available,165 bhp
Hyundai Alcazar,14.99 - 21.70 Lakh,20.4 kmpl,1493 cc,7 seater
Toyota Hilux,30.40 - 37.90 Lakh,10 kmpl,2755 cc,5 seater
BMW M5,1.99 Cr,49.75 kmpl,4395 cc,Plug-in Hybrid(Electric + Petrol)
Volkswagen Tiguan,38.17 Lakh,12.65 kmpl,1984 cc,5 seater
Toyota Innova Hycross,19.94 - 31.34 Lakh,23.24 kmpl,1987 cc,7 seater
Renault KWID,4.70 - 6.45 Lakh,22.3 kmpl,999 cc,5 seater
Toyota Vellfire,1.22 - 1.32 Cr,16 kmpl,2487 cc,(Electric + Petrol)
Skoda Kushaq,10.99 - 19.01 Lakh,19.76 kmpl,1498 cc,5 seater
Lamborghini Urus,4.18 - 4.57 Cr,5.5 kmpl,3999 cc,5 seater
Maruti Celerio,5.64 - 7.37 Lakh,26.68 kmpl,998 cc,5 seater
Toyota Camry,48.50 Lakh,25.49 kmpl,2487 cc,5 seater
Maruti XL6,11.71 - 14.87 Lakh,20.97 kmpl,1462 cc,6 seater
Maruti Jimny,12.76 - 14.96 Lakh,16.94 kmpl,1462 cc,4 seater
Toyota Rumion,10.54 - 13.83 Lakh,20.51 kmpl,1462 cc,7 seater
Toyota Glanza,6.90 - 10 Lakh,22.94 kmpl,1197 cc,5 seater
MG Comet EV,7 - 9.84 Lakh,Not available,Not available,41.42 bhp
Renault Triber,6.10 - 8.97 Lakh,20 kmpl,999 cc,7 seater
Kia Carnival,63.91 Lakh,14.85 kmpl,2151 cc,7 seater
Toyota Taisor,7.74 - 13.04 Lakh,22.8 kmpl,1197 cc,5 seater
Maruti Eeco,5.44 - 6.70 Lakh,19.71 kmpl,1197 cc,5 seater
Porsche 911,1.99 - 4.26 Cr,10.64 kmpl,3996 cc,4 seater
Jeep Compass,18.99 - 32.41 Lakh,17.1 kmpl,1956 cc,5 seater
Volkswagen Taigun,11.80 - 19.83 Lakh,19.87 kmpl,1498 cc,5 seater
BMW X1,49.50 - 52.50 Lakh,20.37 kmpl,1995 cc,5 seater
Honda Elevate,11.91 - 16.73 Lakh,16.92 kmpl,1498 cc,5 seater
MG Astor,11.30 - 17.56 Lakh,15.43 kmpl,1498 cc,5 seater
Maruti Ignis,5.85 - 8.12 Lakh,20.89 kmpl,1197 cc,5 seater
Tata Punch EV,9.99 - 14.44 Lakh,Not available,Not available,120.69 bhp
Force Urbania,30.51 - 37.21 Lakh,11 kmpl,2596 cc,14 seater
Tata Tiago EV,7.99 - 11.14 Lakh,Not available,Not available,73.75 bhp
Mahindra Bolero Neo,9.95 - 12.15 Lakh,17.29 kmpl,1493 cc,7 seater
Tata Nexon EV,12.49 - 17.19 Lakh,Not available,Not available,148 bhp
Mercedes-Benz GLC,76.80 - 77.80 Lakh,Not available,1999 cc,5 seater
Maruti S-Presso,4.26 - 6.12 Lakh,25.3 kmpl,998 cc,5 seater
Tata Tigor,6 - 9.50 Lakh,19.28 kmpl,1199 cc,5 seater
Range Rover Velar,87.90 Lakh,15.8 kmpl,1997 cc,5 seater
Renault Kiger,6.10 - 11.23 Lakh,20.5 kmpl,999 cc,5 seater
Toyota Fortuner Legender,44.11 - 48.09 Lakh,10.52 kmpl,2755 cc,7 seater
Maruti Ciaz,9.41 - 12.31 Lakh,20.65 kmpl,1462 cc,5 seater
Kia EV6,65.90 Lakh,Not available,Not available,321 bhp
BMW X7,1.30 - 1.34 Cr,14.31 kmpl,2998 cc,Mild Hybrid(Electric + Diesel)
BMW XM,2.60 Cr,61.9 kmpl,4395 cc,7 seater
Jeep Wrangler,67.65 - 71.65 Lakh,11.4 kmpl,1995 cc,5 seater
Volvo XC90,1.03 Cr,12.35 kmpl,1969 cc,Mild Hybrid
Audi A4,46.99 - 55.84 Lakh,15 kmpl,1984 cc,Mild Hybrid
Audi Q3,44.99 - 55.64 Lakh,10.14 kmpl,1984 cc,5 seater
Rolls-Royce Cullinan,10.50 - 12.25 Cr,6.6 kmpl,6750 cc,5 seater
Lamborghini Revuelto,8.89 Cr,Not available,6498 cc,2 seater
Maruti Invicto,25.51 - 29.22 Lakh,23.24 kmpl,1987 cc,7 seater
Vayve Mobility Eva,3.25 - 4.49 Lakh,Not available,Not available,20.11 bhp
Mahindra Bolero PikUp ExtraLong,9.70 - 10.59 Lakh,14.3 kmpl,2523 cc,2 seater
BMW Z4,92.90 - 97.90 Lakh,8.5 kmpl,2998 cc,2 seater
BMW M8 Coupe Competition,2.44 Cr,8.7 kmpl,4395 cc,5 seater
Hyundai Creta Electric,17.99 - 24.38 Lakh,Not available,Not available,169 bhp
BMW X3,75.80 - 77.80 Lakh,17.86 kmpl,1998 cc,5 seater
BMW 3 Series,74.90 Lakh,13.02 kmpl,2998 cc,5 seater
BYD Seal,41 - 53 Lakh,Not available,Not available,523 bhp
Jeep Meridian,24.99 - 38.79 Lakh,12 kmpl,1956 cc,5 seater
BMW i7,2.03 - 2.50 Cr,Not available,Not available,650.39 bhp
MG Gloster,39.57 - 44.74 Lakh,10 kmpl,1996 cc,7 seater
Force Gurkha,16.75 Lakh,9.5 kmpl,2596 cc,4 seater
Range Rover Sport,1.40 Cr,10 kmpl,2998 cc,5 seater
Mercedes-Benz C-Class,59.40 - 66.25 Lakh,23 kmpl,1999 cc,5 seater
Rolls-Royce Phantom,8.99 - 10.48 Cr,9.8 kmpl,6749 cc,5 seater
Audi Q7,88.70 - 97.85 Lakh,11 kmpl,2995 cc,Mild Hybrid
Audi A6,65.72 - 72.06 Lakh,14.11 kmpl,1984 cc,5 seater
Mercedes-Benz GLS,1.34 - 1.39 Cr,12 kmpl,2999 cc,7 seater
BYD Atto 3,24.99 - 33.99 Lakh,Not available,Not available,201 bhp
Audi Q5,66.99 - 73.79 Lakh,13.47 kmpl,1984 cc,5 seater
BYD Sealion 7,48.90 - 54.90 Lakh,Not available,Not available,523 bhp
Porsche Cayenne,1.42 - 2 Cr,10.8 kmpl,2894 cc,(Electric + Petrol)
Hyundai Tucson,29.27 - 36.04 Lakh,18 kmpl,1999 cc,5 seater
BMW 5 Series,72.90 Lakh,10.9 kmpl,1998 cc,5 seater
BMW M2,1.03 Cr,10.19 kmpl,2993 cc,4 seater
Land Rover Discovery,97 Lakh - 1.43 Cr,12.37 kmpl,2998 cc,7 seater
BMW 7 Series,1.81 - 1.84 Cr,8 kmpl,2998 cc,5 seater
Bajaj Qute,3.61 Lakh,Not available,216 cc,4 seater
Citroen C3,6.16 - 10.15 Lakh,19.3 kmpl,1199 cc,5 seater
Mercedes-Benz S-Class,1.79 - 1.90 Cr,18 kmpl,2999 cc,5 seater
Volvo XC60,69.90 Lakh,11.2 kmpl,1969 cc,5 seater
Mahindra Bolero Camper,10.41 - 10.76 Lakh,16 kmpl,2523 cc,5 seater
Range Rover Evoque,67.90 Lakh,12.82 kmpl,1997 cc,5 seater
Isuzu D-Max,11.55 - 12.40 Lakh,12 kmpl,2499 cc,2 seater
Kia EV9,1.30 Cr,Not available,Not available,379 bhp
BMW 2 Series,43.90 - 46.90 Lakh,18.64 kmpl,1998 cc,5 seater
MG ZS EV,18.98 - 26.64 Lakh,Not available,Not available,174.33 bhp
Mahindra XUV400 EV,16.74 - 17.69 Lakh,Not available,Not available,149.55 bhp
Mercedes-Benz E-Class,78.50 - 92.50 Lakh,15 kmpl,2999 cc,5 seater
BMW iX1,49 Lakh,Not available,Not available,201 bhp
BYD eMAX 7,26.90 - 29.90 Lakh,Not available,Not available,201 bhp
MG Hector Plus,17.50 - 23.67 Lakh,15.58 kmpl,1956 cc,7 seater
Lexus ES,64 - 69.70 Lakh,18 kmpl,2487 cc,(Electric + Petrol)
Citroen Basalt,8.25 - 14 Lakh,19.5 kmpl,1199 cc,5 seater
Mercedes-Benz Maybach GLS,3.35 - 3.71 Cr,10 kmpl,3982 cc,5 seater
Bentley Continental,5.23 - 8.45 Cr,12.9 kmpl,5993 cc,4 seater
Porsche Macan,96.05 Lakh - 1.53 Cr,6.1 kmpl,2894 cc,5 seater
Audi Q8,1.17 Cr,10 kmpl,2995 cc,5 seater
Hyundai Creta N Line,16.93 - 20.64 Lakh,18.2 kmpl,1482 cc,5 seater
BMW M4 Competition,1.53 Cr,9.7 kmpl,2993 cc,4 seater
Maruti Super Carry,5.25 - 6.41 Lakh,18 kmpl,1196 cc,2 seater
BMW iX,1.40 Cr,Not available,Not available,516.29 bhp
Jaguar F-Pace,72.90 Lakh,10.2 kmpl,1997 cc,5 seater
Mercedes-Benz G-Class Electric,3 Cr,Not available,Not available,579 bhp
Bentley Flying Spur,5.25 - 7.60 Cr,12.5 kmpl,5950 cc,4 seater
Mercedes-Benz GLA,50.80 - 55.80 Lakh,18.9 kmpl,1950 cc,5 seater
Audi RS Q8,2.49 Cr,9 kmpl,3998 cc,5 seater
Citroen Aircross,8.49 - 14.55 Lakh,18.5 kmpl,1199 cc,5 seater
Aston Martin Vanquish,8.85 Cr,Not available,5203 cc,2 seater
Mercedes-Benz G-Class,2.55 - 4 Cr,8.47 kmpl,3982 cc,5 seater
Honda City Hybrid,20.75 Lakh,27.13 kmpl,1498 cc,5 seater
Mercedes-Benz GLE,99 Lakh - 1.17 Cr,16 kmpl,2999 cc,Available
BMW 6 Series,73.50 - 78.90 Lakh,18.65 kmpl,1998 cc,4 seater
BMW M4 CS,1.89 Cr,9.7 kmpl,2993 cc,4 seater
Rolls-Royce Spectre,7.50 Cr,Not available,Not available,576.63 bhp
Bentley Bentayga,5 - 6.75 Cr,8.6 kmpl,3993 cc,4 seater
Tata Altroz Racer,9.50 - 11 Lakh,18 kmpl,1199 cc,5 seater
Aston Martin Vantage,3.99 Cr,7 kmpl,3998 cc,2 seater
Tata Tigor EV,12.49 - 13.75 Lakh,Not available,Not available,73.75 bhp
Mahindra Bolero Neo Plus,11.39 - 12.49 Lakh,14 kmpl,2184 cc,9 seater
Maruti Dzire Tour S,6.79 - 7.74 Lakh,26.06 kmpl,1197 cc,5 seater
Volvo S90,68.25 Lakh,12 kmpl,1969 cc,5 seater
Maserati Levante,1.49 - 1.64 Cr,12 kmpl,2987 cc,5 seater
Hyundai Venue N Line,12.15 - 13.97 Lakh,18 kmpl,998 cc,5 seater
Isuzu MU-X,37 - 40.70 Lakh,13 kmpl,1898 cc,7 seater
Mercedes-Benz EQS SUV,1.28 - 1.43 Cr,Not available,Not available,536.4 bhp
Mclaren GT,4.50 Cr,5.1 kmpl,3994 cc,2 seater
PMV EaS E,4.79 Lakh,Not available,Not available,13.41 bhp
Aston Martin DB12,4.59 Cr,10 kmpl,3982 cc,2 seater
Porsche Taycan,1.67 - 2.53 Cr,Not available,Not available,872 bhp
Porsche Panamera,1.70 - 2.34 Cr,20 kmpl,3996 cc,4 seater
Mini Cooper Countryman,48.10 - 49 Lakh,14.34 kmpl,1998 cc,5 seater
Lexus LM,2.10 - 2.62 Cr,Not available,2487 cc,(Electric + Petrol)
Lamborghini Huracan EVO,4 - 4.99 Cr,5.9 kmpl,5204 cc,2 seater
Maserati Ghibli,1.15 - 1.93 Cr,6 kmpl,3799 cc,5 seater
Mini Cooper 3 DOOR,42.70 Lakh,17.33 kmpl,1998 cc,4 seater
Lotus Eletre,2.55 - 2.99 Cr,Not available,Not available,603 bhp
Jeep Grand Cherokee,67.50 Lakh,7.2 kmpl,1995 cc,5 seater
Isuzu S-CAB,14.20 Lakh,16.56 kmpl,2499 cc,5 seater
Maserati GranTurismo,2.25 - 2.51 Cr,10 kmpl,4691 cc,4 seater
Strom Motors R3,4.50 Lakh,Not available,Not available,20.11 bhp
Maserati Quattroporte,1.71 - 1.86 Cr,11.76 kmpl,2999 cc,5 seater
Maruti Alto 800 tour,4.80 Lakh,22.05 kmpl,796 cc,5 seater
Volvo C40 Recharge,62.95 Lakh,Not available,Not available,402.3 bhp
Mercedes-Benz EQB,72.20 - 78.90 Lakh,Not available,Not available,288.32 bhp
Mclaren 750S,5.91 Cr,6.1 kmpl,3994 cc,2 seater
Isuzu S-CAB Z,16.30 Lakh,Not available,2499 cc,5 seater
Lotus Emira,3.22 Cr,Not available,1998 cc,1998 cc
Ferrari 296 GTB,5.40 Cr,15.62 kmpl,2992 cc,(Electric + Petrol)
BMW 3 Series Long Wheelbase,62.60 Lakh,15.39 kmpl,1198 cc,5 seater
Lexus RX,95.80 Lakh - 1.20 Cr,Not available,2487 cc,5 seater
Mercedes-Benz AMG SL,2.47 Cr,7.3 kmpl,3982 cc,4 seater
Mercedes-Benz AMG GLC 43,1.12 Cr,10 kmpl,1991 cc,5 seater
Mahindra Bolero Maxitruck Plus,7.49 - 7.89 Lakh,17.2 kmpl,2523 cc,2 seater
Isuzu V-Cross,26 - 31.46 Lakh,12.4 kmpl,1898 cc,5 seater
Ferrari F8 Tributo,4.02 Cr,5.8 kmpl,3902 cc,2 seater
Mercedes-Benz Maybach SL 680,4.20 Cr,Not available,3982 cc,2 seater
Nissan X-Trail,49.92 Lakh,10 kmpl,1498 cc,(Electric + Petrol)
Ferrari SF90 Stradale,7.50 Cr,18 kmpl,3990 cc,2 seater
Volvo XC40 Recharge,56.10 - 57.90 Lakh,Not available,Not available,408 bhp
Mercedes-Benz EQE SUV,1.41 Cr,Not available,Not available,402.3 bhp
Tata Yodha Pickup,6.95 - 7.50 Lakh,13 kmpl,2956 cc,2 seater
Maserati Grecale,1.31 - 2.05 Cr,9.2 kmpl,3000 cc,5 seater
Lexus NX,68.02 - 74.98 Lakh,9.5 kmpl,2487 cc,5 seater
Mercedes-Benz AMG C43,99.40 Lakh,10 kmpl,1991 cc,5 seater
Maserati GranCabrio,2.46 - 2.69 Cr,10.2 kmpl,4691 cc,4 seater
Mercedes-Benz Maybach EQS SUV,2.28 - 2.63 Cr,Not available,Not available,649 bhp
Mercedes-Benz EQS,1.63 Cr,Not available,Not available,750.97 bhp
Aston Martin DBX,3.82 - 4.63 Cr,8 kmpl,3982 cc,5 seater
Pravaig DEFY,39.50 Lakh,Not available,Not available,402 bhp
Citroen eC3,12.90 - 13.41 Lakh,Not available,Not available,56.21 bhp
Mini Cooper S,44.90 - 55.90 Lakh,15 kmpl,1998 cc,5 seater
Porsche Macan EV,1.22 - 1.69 Cr,Not available,Not available,608 bhp
Ferrari Roma,3.76 Cr,6 kmpl,3855 cc,2 seater
Mercedes-Benz AMG A 45 S,94.80 Lakh,10 kmpl,1991 cc,5 seater
Audi RS e-tron GT,1.95 Cr,Not available,Not available,636.98 bhp
Ferrari 812,5.75 Cr,5.5 kmpl,6496 cc,2 seater
BMW i4,72.50 - 77.50 Lakh,Not available,Not available,335.25 bhp
Land Rover Discovery Sport,67.90 Lakh,19.4 kmpl,1999 cc,7 seater
BMW i5,1.20 Cr,Not available,Not available,592.73 bhp
Mercedes-Benz Maybach S-Class,2.77 - 3.48 Cr,23 kmpl,5980 cc,5 seater
Mercedes-Benz Maybach S-Class,2.77 - 3.48 Cr,23 kmpl,5980 cc,5 seater
Maruti Ertiga Tour,9.75 - 10.70 Lakh,18.04 kmpl,1462 cc,7 seater
Lexus LX,2.84 - 3.12 Cr,5 kmpl,3346 cc,5 seater
Mini Cooper SE,53.50 Lakh,Not available,Not available,181.03 bhp
Honda Amaze 2nd Gen,7.20 - 9.96 Lakh,18.6 kmpl,1199 cc,5 seater
Mercedes-Benz AMG C 63,1.95 Cr,Not available,1991 cc,5 seater
Mercedes-Benz EQA,67.20 Lakh,Not available,Not available,188 bhp
Mercedes-Benz CLE Cabriolet,1.11 Cr,12 kmpl,1999 cc,4 seater
Mercedes-Benz GLB,64.80 - 71.80 Lakh,9.7 kmpl,1998 cc,7 seater
Mercedes-Benz A-Class Limousine,46.05 - 48.55 Lakh,15.5 kmpl,1950 cc,5 seater
Isuzu Hi-Lander,21.50 Lakh,12.4 kmpl,1898 cc,5 seater
Mercedes-Benz AMG GLE 53,1.88 Cr,8.9 kmpl,2999 cc,5 seater
Citroen C5 Aircross,39.99 Lakh,17.5 kmpl,1997 cc,5 seater
Tata Tiago NRG,7.20 - 8.20 Lakh,20.09 kmpl,1199 cc,5 seater
Rolls-Royce Ghost Series II,8.95 - 10.52 Cr,Not available,6750 cc,6750 cc
Mercedes-Benz AMG S 63,3.34 - 3.80 Cr,19.4 kmpl,3982 cc,(Electric + Petrol)
Audi Q8 e-tron,1.15 - 1.27 Cr,Not available,Not available,402.3 bhp
Audi Q3 Sportback,55.99 - 56.94 Lakh,10.14 kmpl,1984 cc,5 seater
Hyundai i20 N-Line,9.99 - 12.56 Lakh,20 kmpl,998 cc,5 seater
Mercedes-Benz AMG GLA 35,58.50 Lakh,10 kmpl,1991 cc,5 seater
Audi Q8 Sportback e-tron,1.19 - 1.32 Cr,Not available,Not available,402.3 bhp
Force Gurkha 5 Door,18 Lakh,9.5 kmpl,2596 cc,7 seater
Porsche Cayenne Coupe,1.49 - 2.01 Cr,8 kmpl,3996 cc,4 seater
Maruti Wagon R tour,5.51 - 6.42 Lakh,25.4 kmpl,998 cc,5 seater
Maruti Eeco Cargo,5.59 - 6.91 Lakh,20.2 kmpl,1197 cc,2 seater
Lotus Emeya,2.34 Cr,Not available,Not available,594.71 bhp
Mini Countryman Electric,54.90 Lakh,Not available,Not available,313 bhp
Mahindra BOLERO PikUP ExtraStrong,8.71 - 9.39 Lakh,12 kmpl,1298 cc,2 seater
Audi Q8 e-tron,1.15 - 1.27 Cr,Not available,Not available,402.3 bhp
Audi Q8 Sportback e-tron,1.19 - 1.32 Cr,Not available,Not available,402.3 bhp
Mercedes-Benz AMG GLA 35,58.50 Lakh,10 kmpl,1991 cc,5 seater
Mercedes-Benz AMG EQS,2.45 Cr,Not available,Not available,751 bhp
Hyundai i20 N-Line,9.99 - 12.56 Lakh,20 kmpl,998 cc,5 seater
Audi S5 Sportback,77.77 - 85.10 Lakh,10.6 kmpl,2994 cc,5 seater
