Name,Price (Lakh),Rating,Review Count,Mileage (kmpl),Engine (cc),Seating,Popularity
Mahindra Scorpio N,14.0,4.5,774,15.94,2198.0,7,7.8
Mahindra Thar ROXX,13.0,4.6,445,15.2,2184.0,5,5.0
Mahindra XUV700,14.0,4.6,11,17.0,2198.0,5,1.1
Hyundai Creta,11.1,4.6,387,21.8,1497.0,5,4.5
Tata Curvv,10.0,4.7,372,12.0,1497.0,5,4.4
Defender,104.0,4.5,273,14.01,5000.0,7,3.4
Tata Punch,6.0,4.5,14,20.09,1199.0,5,1.1
Toyota Fortuner,33.8,4.5,643,11.0,2755.0,7,6.6
Tata Nexon,8.0,4.6,693,24.08,1497.0,5,7.2
Mahindra BE 6,18.9,4.8,395,15.8,2377.4,5,4.7
Maruti Ertiga,9.0,4.5,732,20.51,1462.0,7,7.4
Maruti FRONX,7.5,4.5,599,22.89,1197.0,5,6.2
Maruti Swift,6.5,4.5,372,25.75,1197.0,5,4.3
Maruti Brezza,8.7,4.5,722,19.89,1462.0,5,7.3
Maruti Dzire,6.8,4.7,416,25.71,1197.0,5,4.8
Mahindra Scorpio,13.6,4.7,984,14.44,2184.0,7,10.0
Maruti Grand Vitara,11.4,4.5,561,27.97,1490.0,5,5.9
Mahindra Bolero,9.8,4.3,303,16.0,1493.0,7,3.5
Mahindra Thar,11.5,4.5,13,8.0,2184.0,4,1.1
Toyota Innova Crysta,20.0,4.5,296,9.0,2393.0,7,3.6
Kia Carens,10.6,4.4,457,15.0,1497.0,7,4.9
Kia Syros,9.0,4.6,68,20.75,1493.0,5,1.6
Mahindra XUV 3XO,8.0,4.5,277,20.6,1498.0,5,3.4
Maruti Baleno,6.7,4.4,608,22.94,1197.0,5,6.2
Kia Seltos,11.1,4.5,421,20.7,1497.0,5,4.7
Skoda Kylaq,7.9,4.7,239,19.68,999.0,5,3.2
Maruti Wagon R,5.6,4.4,447,25.19,1197.0,5,4.8
Hyundai Venue,7.9,4.4,431,24.2,1493.0,5,4.7
Tata Tiago,5.0,4.4,841,20.09,1199.0,5,8.2
Hyundai Verna,11.1,4.6,540,20.6,1497.0,5,5.8
Range Rover,240.0,4.5,160,13.16,2998.0,5,2.4
Toyota Urban Cruiser Hyryder,11.3,4.4,381,27.97,1490.0,5,4.3
Kia Sonet,8.0,4.4,170,24.1,1493.0,5,2.4
Tata Harrier,15.0,4.6,245,16.8,1956.0,5,3.2
Mahindra XEV 9e,21.9,4.8,83,15.8,2377.4,5,1.8
Tata Safari,15.5,4.5,181,16.3,1956.0,7,2.6
Toyota Land Cruiser 300,231.0,4.6,94,11.0,3346.0,5,1.8
Hyundai i20,7.0,4.5,125,20.0,1197.0,5,2.1
Hyundai Exter,6.0,4.6,11,19.4,1197.0,5,1.1
Mercedes-Benz GLC,76.8,4.4,21,15.8,1999.0,5,1.2
Volkswagen Virtus,11.6,4.5,385,20.8,1498.0,5,4.4
MG Windsor EV,14.0,4.7,87,15.8,2377.4,5,1.8
Skoda Slavia,10.3,4.4,302,20.32,1498.0,5,3.6
Hyundai Aura,6.5,4.4,200,17.0,1197.0,5,2.7
Maruti Alto K10,4.2,4.4,416,24.9,998.0,5,4.6
BMW X5,97.0,4.3,48,12.0,2998.0,5,1.4
Nissan Magnite,6.1,4.5,131,19.9,999.0,5,2.1
Tata Altroz,6.7,4.6,14,23.64,1497.0,5,1.1
Honda City,12.3,4.3,188,18.4,1498.0,5,2.6
MG Hector,14.0,4.4,320,15.58,1956.0,5,3.7
Tata Curvv EV,17.5,4.7,129,15.8,2377.4,5,2.2
BMW M5,199.0,4.7,58,49.75,4395.0,5,1.5
Toyota Hilux,30.4,4.4,156,10.0,2755.0,5,2.3
Hyundai Alcazar,15.0,4.5,79,20.4,1493.0,7,1.7
Honda Amaze,8.1,4.6,77,19.46,1199.0,5,1.7
Toyota Innova Hycross,19.9,4.4,242,23.24,1987.0,7,3.1
Toyota Vellfire,122.0,4.7,35,16.0,2487.0,5,1.3
Renault KWID,4.7,4.3,882,22.3,999.0,5,8.4
Maruti Eeco,5.4,4.3,296,19.71,1197.0,5,3.5
Skoda Kushaq,11.0,4.3,445,19.76,1498.0,5,4.7
Lamborghini Urus,418.0,4.6,111,5.5,3999.0,5,2.0
Kia Carnival,63.9,4.7,74,14.85,2151.0,7,1.7
Maruti Celerio,5.6,4.0,345,26.68,998.0,5,3.7
Toyota Glanza,6.9,4.4,254,22.94,1197.0,5,3.2
MG Comet EV,7.0,4.3,219,15.8,2377.4,5,2.8
Toyota Camry,48.6,4.7,13,25.49,2487.0,5,1.1
Maruti XL6,11.7,4.4,271,20.97,1462.0,6,3.3
Toyota Rumion,10.5,4.6,250,20.51,1462.0,7,3.2
Maruti Jimny,12.8,4.5,384,16.94,1462.0,4,4.4
Porsche 911,199.0,4.5,43,10.64,3996.0,4,1.4
Renault Triber,6.1,4.3,11,20.0,999.0,7,1.1
Toyota Taisor,7.7,4.4,76,22.8,1197.0,5,1.6
Volkswagen Taigun,11.8,4.3,238,19.87,1498.0,5,3.0
BMW X1,49.5,4.4,123,20.37,1995.0,5,2.0
Jeep Compass,19.0,4.2,260,17.1,1956.0,5,3.1
Honda Elevate,11.9,4.4,468,16.92,1498.0,5,5.0
Maruti Ignis,5.8,4.4,634,20.89,1197.0,5,6.4
Volkswagen Tiguan R-Line,49.0,5.0,1,12.58,1984.0,5,1.0
Force Urbania,30.5,4.7,18,11.0,2596.0,5,1.2
Tata Punch EV,10.0,4.4,120,15.8,2377.4,5,2.0
Tata Tiago EV,8.0,4.4,282,15.8,2377.4,5,3.4
MG Astor,11.3,4.3,321,15.43,1498.0,5,3.7
Range Rover Velar,87.9,4.4,111,15.8,1997.0,5,1.9
Renault Kiger,6.1,4.2,502,20.5,999.0,5,5.1
Mahindra Bolero Neo,9.9,4.5,211,17.29,1493.0,7,2.8
Tata Nexon EV,12.5,4.4,192,15.8,2377.4,5,2.6
Maruti S-Presso,4.3,4.3,454,25.3,998.0,5,4.8
Tata Tigor,6.0,4.3,342,19.28,1199.0,5,3.9
Maruti Ciaz,9.4,4.5,736,20.65,1462.0,5,7.4
BMW X7,130.0,4.4,107,14.31,2998.0,5,1.9
Lamborghini Revuelto,889.0,4.5,40,15.8,6498.0,2,1.3
Toyota Fortuner Legender,44.1,4.5,198,10.52,2755.0,7,2.7
Maruti Invicto,25.5,4.4,92,23.24,1987.0,7,1.8
Jeep Wrangler,67.7,4.7,13,11.4,1995.0,5,1.1
Kia EV6,65.9,5.0,1,15.8,2377.4,5,1.0
Volvo XC90,103.0,4.8,4,12.35,1969.0,5,1.0
Audi Q3,45.0,4.3,81,10.14,1984.0,5,1.7
Audi A4,47.0,4.3,115,15.0,1984.0,5,2.0
Rolls-Royce Cullinan,1050.0,4.6,17,6.6,6750.0,5,1.1
Vayve Mobility Eva,3.2,4.6,54,15.8,2377.4,5,1.5
Mahindra Bolero PikUp ExtraLong,9.7,4.6,126,14.3,2523.0,2,2.1
BMW XM,260.0,4.4,101,61.9,4395.0,7,1.9
Jeep Meridian,25.0,4.3,158,12.0,1956.0,5,2.3
BMW Z4,92.9,4.4,105,8.5,2998.0,2,1.9
Force Gurkha,16.8,4.3,78,9.5,2596.0,4,1.6
BMW 3 Series,74.9,4.3,81,13.02,2998.0,5,1.7
BMW X3,75.8,4.1,3,17.86,1998.0,5,1.0
BMW i7,203.0,4.4,96,15.8,2377.4,5,1.8
BMW M8 Coupe Competition,244.0,4.3,69,8.7,4395.0,5,1.6
MG Gloster,39.6,4.3,130,10.0,1996.0,7,2.1
Range Rover Sport,140.0,4.3,73,10.0,2998.0,5,1.6
Mercedes-Benz C-Class,59.4,4.3,99,23.0,1999.0,5,1.8
Rolls-Royce Phantom,899.0,4.6,112,9.8,6749.0,5,2.0
Audi A6,65.7,4.3,93,14.11,1984.0,5,1.8
Audi Q5,67.0,4.2,59,13.47,1984.0,5,1.5
BYD Seal,41.0,4.3,37,15.8,2377.4,5,1.3
Audi Q7,88.7,4.8,6,11.0,2995.0,5,1.0
Citroen C3,6.2,4.3,288,19.3,1199.0,5,3.4
Tata Altroz Racer,9.5,4.5,68,18.0,1199.0,5,1.6
BYD Atto 3,25.0,4.2,103,15.8,2377.4,5,1.8
Porsche Cayenne,142.0,4.5,8,10.8,2894.0,5,1.1
Kia EV9,130.0,4.9,10,15.8,2377.4,5,1.1
BYD Sealion 7,48.9,4.7,3,15.8,2377.4,5,1.0
Mercedes-Benz GLS,134.0,4.4,29,12.0,2999.0,7,1.2
BMW 5 Series,72.9,4.4,28,10.9,1998.0,5,1.2
Hyundai Tucson,29.3,4.2,79,18.0,1999.0,5,1.6
BMW 7 Series,181.0,4.2,61,8.0,2998.0,5,1.5
BMW M2,103.0,4.5,19,10.19,2993.0,4,1.2
Land Rover Discovery,97.0,4.1,44,12.37,2998.0,7,1.3
Bajaj Qute,3.6,4.2,79,15.8,216.0,4,1.6
Citroen Aircross,8.6,4.4,143,18.5,1199.0,5,2.2
Range Rover Evoque,67.9,4.3,31,12.82,1997.0,5,1.3
Mahindra Bolero Camper,10.4,4.7,153,16.0,2523.0,5,2.4
Isuzu D-Max,11.6,4.1,51,12.0,2499.0,2,1.4
BYD eMAX 7,26.9,4.6,6,15.8,2377.4,5,1.0
Citroen Basalt,8.3,4.4,30,19.5,1199.0,5,1.2
BMW iX1,49.0,4.5,21,15.8,2377.4,5,1.2
BMW 2 Series,43.9,4.3,116,18.64,1998.0,5,2.0
Mercedes-Benz S-Class,179.0,4.4,73,18.0,2999.0,5,1.6
Mahindra XUV400 EV,16.7,4.5,258,15.8,2377.4,5,3.3
MG ZS EV,19.0,4.2,126,15.8,2377.4,5,2.0
Volvo XC60,69.9,4.3,101,11.2,1969.0,5,1.8
Mercedes-Benz E-Class,78.5,4.7,10,15.0,2999.0,5,1.1
Mercedes-Benz Maybach GLS,335.0,4.7,15,10.0,3982.0,5,1.1
MG Hector Plus,17.5,4.3,149,15.58,1956.0,7,2.2
Lexus ES,64.0,4.5,73,18.0,2487.0,5,1.6
Porsche Macan,96.0,4.6,16,6.1,2894.0,5,1.1
Bentley Continental,523.0,4.5,23,12.9,5993.0,4,1.2
Mercedes-Benz G-Class,255.0,4.7,35,8.47,3982.0,5,1.3
BMW M4 Competition,153.0,4.6,20,9.7,2993.0,4,1.2
Hyundai Creta N Line,16.9,4.4,19,18.2,1482.0,5,1.2
Jaguar F-Pace,72.9,4.2,91,10.2,1997.0,5,1.7
Audi Q8,117.0,4.7,4,10.0,2995.0,5,1.0
Maruti Super Carry,5.2,4.4,20,18.0,1196.0,2,1.2
Bentley Flying Spur,525.0,4.6,26,12.5,5950.0,4,1.2
Rolls-Royce Spectre,750.0,4.7,20,15.8,2377.4,5,1.2
Audi RS Q8,249.0,4.5,1,9.0,3998.0,5,1.0
BMW iX,140.0,4.2,70,15.8,2377.4,5,1.6
Honda City Hybrid,20.8,4.1,68,27.13,1498.0,5,1.5
Volvo S90,68.2,4.3,78,12.0,1969.0,5,1.6
Mercedes-Benz GLA,50.8,4.3,26,18.9,1950.0,5,1.2
BMW 6 Series,73.5,4.3,75,18.65,1998.0,4,1.6
Aston Martin Vanquish,885.0,4.7,2,15.8,5203.0,2,1.0
BMW M4 CS,189.0,4.6,9,9.7,2993.0,4,1.1
Bentley Bentayga,500.0,4.5,8,8.6,3993.0,4,1.1
Mahindra Bolero Neo Plus,11.4,4.5,40,14.0,2184.0,9,1.3
Aston Martin Vantage,399.0,4.0,3,7.0,3998.0,2,1.0
Mercedes-Benz GLE,99.0,4.2,17,16.0,2999.0,5,1.1
Tata Tigor EV,12.5,4.1,97,15.8,2377.4,5,1.8
Maserati Levante,149.0,4.1,9,12.0,2987.0,5,1.1
Mercedes-Benz EQS SUV,128.0,4.5,5,15.8,2377.4,5,1.0
Mclaren GT,450.0,4.7,8,5.1,3994.0,2,1.1
Maruti Dzire Tour S,6.8,4.0,5,26.06,1197.0,5,1.0
Isuzu MU-X,37.0,4.2,50,13.0,1898.0,7,1.4
Porsche Taycan,167.0,4.5,3,15.8,2377.4,5,1.0
Porsche Panamera,170.0,4.6,6,20.0,3996.0,4,1.0
Mini Cooper Countryman,48.1,4.0,36,14.34,1998.0,5,1.3
Hyundai Venue N Line,12.2,4.6,20,18.0,998.0,5,1.2
Lexus LM,210.0,4.6,5,15.8,2487.0,5,1.0
Maserati Grecale,131.0,5.0,1,9.2,3000.0,5,1.0
Lamborghini Huracan EVO,400.0,4.7,59,5.9,5204.0,2,1.5
Maserati Ghibli,115.0,4.0,5,6.0,3799.0,5,1.0
Mini Cooper 3 DOOR,42.7,4.1,49,17.33,1998.0,4,1.4
PMV EaS E,4.8,4.6,33,15.8,2377.4,5,1.3
Jeep Grand Cherokee,67.5,4.1,13,7.2,1995.0,5,1.1
Strom Motors R3,4.5,3.7,17,15.8,2377.4,5,1.1
Maserati GranTurismo,225.0,4.6,2,10.0,4691.0,4,1.0
Maserati Quattroporte,171.0,4.5,2,11.76,2999.0,5,1.0
Aston Martin DB12,459.0,4.4,12,10.0,3982.0,2,1.1
Isuzu S-CAB,14.2,4.2,52,16.56,2499.0,5,1.4
Maruti Alto 800 tour,4.8,4.3,58,22.05,796.0,5,1.5
Volvo C40 Recharge,63.0,4.8,4,15.8,2377.4,5,1.0
Mercedes-Benz EQB,72.2,4.9,6,15.8,2377.4,5,1.0
Mclaren 750S,591.0,4.2,13,6.1,3994.0,2,1.1
Lotus Emira,322.0,4.7,3,15.8,1998.0,5,1.0
Ferrari 296 GTB,540.0,4.7,8,15.62,2992.0,5,1.1
BMW 3 Series Long Wheelbase,62.6,4.2,63,15.39,1198.0,5,1.5
Lexus RX,95.8,4.2,11,15.8,2487.0,5,1.1
Mercedes-Benz AMG SL,247.0,4.5,17,7.3,3982.0,4,1.1
Mahindra Bolero Maxitruck Plus,7.5,4.2,41,17.2,2523.0,2,1.3
Mercedes-Benz AMG GLC 43,112.0,4.7,6,10.0,1991.0,5,1.0
Isuzu S-CAB Z,16.3,4.8,8,15.8,2499.0,5,1.1
Ferrari F8 Tributo,402.0,4.4,11,5.8,3902.0,2,1.1
Tata Yodha Pickup,7.0,4.5,30,13.0,2956.0,2,1.3
Mercedes-Benz Maybach SL 680,420.0,4.4,133,15.8,3982.0,2,2.1
Nissan X-Trail,49.9,4.6,17,10.0,1498.0,5,1.1
Ferrari SF90 Stradale,750.0,4.5,21,18.0,3990.0,2,1.2
Volvo XC40 Recharge,56.1,4.2,53,15.8,2377.4,5,1.4
Lotus Eletre,255.0,4.8,9,15.8,2377.4,5,1.1
Mercedes-Benz EQE SUV,141.0,4.1,22,15.8,2377.4,5,1.2
Lexus NX,68.0,4.0,22,9.5,2487.0,5,1.2
Mercedes-Benz AMG C43,99.4,4.2,6,10.0,1991.0,5,1.0
Maserati GranCabrio,246.0,4.4,7,10.2,4691.0,4,1.1
Mercedes-Benz Maybach EQS SUV,228.0,4.7,3,15.8,2377.4,5,1.0
Mercedes-Benz EQS,163.0,4.4,39,15.8,2377.4,5,1.3
Pravaig DEFY,39.5,4.6,14,15.8,2377.4,5,1.1
Aston Martin DBX,382.0,4.6,9,8.0,3982.0,5,1.1
Citroen eC3,12.9,4.2,86,15.8,2377.4,5,1.7
Mini Cooper S,44.9,4.0,4,15.0,1998.0,5,1.0
Isuzu V-Cross,26.0,4.2,41,12.4,1898.0,5,1.3
Porsche Macan EV,122.0,4.9,3,15.8,2377.4,5,1.0
Ferrari Roma,376.0,4.5,7,6.0,3855.0,2,1.1
Mercedes-Benz AMG A 45 S,94.8,4.2,6,10.0,1991.0,5,1.0
Maruti Ertiga Tour,9.8,4.5,44,18.04,1462.0,7,1.4
BMW i4,72.5,4.2,53,15.8,2377.4,5,1.4
Land Rover Discovery Sport,67.9,4.2,65,19.4,1999.0,7,1.5
Ferrari 812,575.0,4.5,15,5.5,6496.0,2,1.1
BMW i5,120.0,4.8,4,15.8,2377.4,5,1.0
Audi e-tron GT,172.0,4.3,45,15.8,2377.4,5,1.4
Mercedes-Benz Maybach S-Class,277.0,4.7,58,23.0,5980.0,5,1.5
Audi RS e-tron GT,195.0,4.4,8,15.8,2377.4,5,1.1
Mini Cooper SE,53.5,4.2,50,15.8,2377.4,5,1.4
Lexus LX,284.0,4.2,18,5.0,3346.0,5,1.1
Honda Amaze 2nd Gen,7.2,4.3,325,18.6,1199.0,5,3.7
Mercedes-Benz AMG C 63,195.0,4.8,5,15.8,1991.0,5,1.0
Mercedes-Benz EQA,67.2,4.8,4,15.8,2377.4,5,1.0
Mercedes-Benz CLE Cabriolet,111.0,4.3,2,12.0,1999.0,4,1.0
Mercedes-Benz GLB,64.8,4.1,53,9.7,1998.0,7,1.4
Mercedes-Benz A-Class Limousine,46.0,4.3,75,15.5,1950.0,5,1.6
Isuzu Hi-Lander,21.5,4.1,43,12.4,1898.0,5,1.3
Mercedes-Benz AMG GLE 53,188.0,4.3,21,8.9,2999.0,5,1.2
Citroen C5 Aircross,40.0,4.2,86,17.5,1997.0,5,1.7
Tata Tiago NRG,7.2,4.2,106,20.09,1199.0,5,1.9
Mercedes-Benz AMG S 63,334.0,4.6,2,19.4,3982.0,5,1.0
Porsche Cayenne Coupe,149.0,4.2,2,8.0,3996.0,4,1.0
Mercedes-Benz AMG E 53 Cabriolet,130.0,4.8,6,9.0,2998.0,4,1.0
Maruti Wagon R tour,5.5,4.2,58,25.4,998.0,5,1.5
Mercedes-Benz AMG GT 4 Door Coupe,334.0,4.6,7,7.0,3982.0,5,1.1
Audi Q3 Sportback,56.0,4.1,45,10.14,1984.0,5,1.4
Hyundai i20 N-Line,10.0,4.4,21,20.0,998.0,5,1.2
Audi S5 Sportback,77.8,4.4,5,10.6,2994.0,5,1.0
Mahindra BOLERO PikUP ExtraStrong,8.7,5.0,8,12.0,1298.0,2,1.1
Lotus Emeya,234.0,5.0,1,15.8,2377.4,5,1.0
Maruti Eeco Cargo,5.6,4.5,13,20.2,1197.0,2,1.1
Hyundai Grand i10 Nios,6.0,4.4,217,18.0,1197.0,5,2.9
Audi Q8 e-tron,115.0,4.2,42,15.8,2377.4,5,1.3
Hyundai IONIQ 5,46.0,4.2,82,15.8,2377.4,5,1.7
